3384	0.22%	itext	1	com.itextpdf.text.pdf	PdfEncryptor	
13	0.00%	netidt	2	net.idt.um.android.api.com.config	AppKeyResponsesLong	decryptLongs(JJ)Ljava/lang/Long;
13	0.00%	netidt	2	net.idt.um.android.api.com.config	TestAppKeyResponses	decrypt(Ljava/lang/String;)Ljava/lang/String;
9617	0.63%	tencentop	2	com.tencent.open.utils	Util	encrypt(Ljava/lang/String;)Ljava/lang/String;
2836	0.19%	tencentop	2	com.tencent.utils	Util	encrypt(Ljava/lang/String;)Ljava/lang/String;
3486	0.23%	tencentcloud	0	com.tencent.android.tpush.encrypt		
13507	0.89%	alipay	0	com.alipay.sdk.encrypt		
4532	0.30%	baidu	2	com.baidu.location	Jni	coorEncrypt(DDLjava/lang/String;)[D
4	0.00%	cutie	2	com.cutie.merge.garden	StringFog	decrypt(Ljava/lang/String;)Ljava/lang/String;
1208	0.08%	androidxsec	1	androidx.security.crypto	MasterKey	
1325	0.09%	androidxsec	1	androidx.security.crypto	EncryptedFile	
69	0.00%	javaxcrypto	1	javax.crypto	KeyGenerator	
963682	63.19%	javaxcrypto	1	javax.crypto	Cipher	
40567	2.66%	javasec	1	java.security	PrivateKey	
702922	46.09%	javasec	1	java.security	Signature	
0	0.00%	javasec	1	java.security	Publickey	
18	0.00%	javasec	1	java.security	KeyPair	
1191530	78.13%	javasec	1	java.security	MessageDigest	
0	0.00%	javasec	1	java.security	SecureRandom	
46	0.00%	javaxcrypto	1	javax.crypto	Mac	
